YEAR_MONTH,ICB_CODE,BNF_CHEMICAL_SUBSTANCE_CODE,GENDER,AGE_BAND,UNIQUE_PATIENT_COUNT,ITEMS
201606,Q44,0501011P0,Female,0-1,*,*
201606,Q44,0501011P0,Female,2-5,*,*
201606,Q44,0501011P0,Female,11-15,*,*
201606,Q44,0501011P0,Female,16-20,*,*
201606,Q44,0501011P0,Female,21-25,*,*
201606,Q44,0501011P0,Female,31-35,*,*
201606,Q44,0501011P0,Female,41-45,*,*
201606,Q44,0501011P0,Female,56-60,*,*
201606,Q44,0501011P0,Female,61-65,*,*
201606,Q44,0501011P0,Female,71-75,*,*
201606,Q44,0501011P0,Female,81-85,*,*
201606,Q44,0501011P0,Male,2-5,*,*
201606,Q44,0501011P0,Male,6-10,*,*
201606,Q44,0501011P0,Male,11-15,*,*
201606,Q44,0501011P0,Male,16-20,*,*
201606,Q44,0501011P0,Male,26-30,*,*
201606,Q44,0501011P0,Male,31-35,*,*
201606,Q44,0501011P0,Male,66-70,*,*
201606,Q44,0501011P0,Unknown,Unknown,0,*
201606,Q44,0501012G0,Female,Unknown,*,*
201606,Q44,0501012G0,Female,0-1,*,*
201606,Q44,0501012G0,Female,2-5,5,5
201606,Q44,0501012G0,Female,6-10,*,*
201606,Q44,0501012G0,Female,11-15,*,*
201606,Q44,0501012G0,Female,16-20,*,*
201606,Q44,0501012G0,Female,21-25,6,7
201606,Q44,0501012G0,Female,26-30,*,*
201606,Q44,0501012G0,Female,31-35,*,*
201606,Q44,0501012G0,Female,36-40,*,*
201606,Q44,0501012G0,Female,41-45,7,7
201606,Q44,0501012G0,Female,46-50,5,5
201606,Q44,0501012G0,Female,51-55,*,*
201606,Q44,0501012G0,Female,56-60,5,6
201606,Q44,0501012G0,Female,61-65,*,*
201606,Q44,0501012G0,Female,66-70,5,5
201606,Q44,0501012G0,Female,71-75,5,5
201606,Q44,0501012G0,Female,76-80,*,*
201606,Q44,0501012G0,Female,81-85,*,*
201606,Q44,0501012G0,Female,86-90,*,*
201606,Q44,0501012G0,Female,91-95,*,*
201606,Q44,0501012G0,Male,Unknown,*,*
201606,Q44,0501012G0,Male,0-1,*,*
201606,Q44,0501012G0,Male,2-5,5,5
201606,Q44,0501012G0,Male,6-10,5,5
201606,Q44,0501012G0,Male,11-15,*,*
201606,Q44,0501012G0,Male,16-20,*,*
201606,Q44,0501012G0,Male,26-30,*,*
201606,Q44,0501012G0,Male,31-35,*,*
201606,Q44,0501012G0,Male,36-40,*,*
201606,Q44,0501012G0,Male,46-50,*,5
201606,Q44,0501012G0,Male,51-55,*,*
201606,Q44,0501012G0,Male,61-65,*,*
201606,Q44,0501012G0,Male,66-70,*,*
201606,Q44,0501012G0,Male,71-75,*,*
201606,Q44,0501012G0,Male,76-80,*,*
201606,Q44,0501012G0,Male,81-85,*,*
201606,Q44,0501012G0,Male,86-90,*,*
201606,Q44,0501012G0,Unknown,Unknown,0,7
201606,Q44,0501012G0,Unknown,31-35,0,*
201606,Q44,0501012G0,Unknown,46-50,0,*
201606,Q44,0501013B0,Female,Unknown,*,*
201606,Q44,0501013B0,Female,0-1,6,6
201606,Q44,0501013B0,Female,2-5,11,12
201606,Q44,0501013B0,Female,6-10,*,*
201606,Q44,0501013B0,Female,11-15,*,*
201606,Q44,0501013B0,Female,16-20,*,*
201606,Q44,0501013B0,Female,21-25,*,*
201606,Q44,0501013B0,Female,26-30,*,*
201606,Q44,0501013B0,Female,31-35,9,9
201606,Q44,0501013B0,Female,36-40,*,*
201606,Q44,0501013B0,Female,41-45,6,7
201606,Q44,0501013B0,Female,46-50,*,*
201606,Q44,0501013B0,Female,51-55,7,7
201606,Q44,0501013B0,Female,56-60,*,*
201606,Q44,0501013B0,Female,61-65,*,*
201606,Q44,0501013B0,Female,66-70,7,8
201606,Q44,0501013B0,Female,71-75,*,*
201606,Q44,0501013B0,Female,76-80,*,*
201606,Q44,0501013B0,Female,81-85,*,*
201606,Q44,0501013B0,Female,86-90,*,*
201606,Q44,0501013B0,Male,0-1,9,10
201606,Q44,0501013B0,Male,2-5,7,7
201606,Q44,0501013B0,Male,6-10,*,*
201606,Q44,0501013B0,Male,11-15,*,*
201606,Q44,0501013B0,Male,16-20,*,*
201606,Q44,0501013B0,Male,21-25,*,*
201606,Q44,0501013B0,Male,26-30,*,*
201606,Q44,0501013B0,Male,31-35,*,5
201606,Q44,0501013B0,Male,36-40,*,*
201606,Q44,0501013B0,Male,41-45,*,*
201606,Q44,0501013B0,Male,46-50,*,*
201606,Q44,0501013B0,Male,51-55,*,*
201606,Q44,0501013B0,Male,56-60,5,5
201606,Q44,0501013B0,Male,61-65,*,*
201606,Q44,0501013B0,Male,66-70,*,*
201606,Q44,0501013B0,Male,71-75,*,*
201606,Q44,0501013B0,Male,76-80,*,*
201606,Q44,0501013B0,Male,81-85,*,*
201606,Q44,0501013B0,Male,86-90,*,*
201606,Q44,0501013B0,Unknown,Unknown,0,9
201606,Q44,0501013B0,Unknown,36-40,0,*
201606,Q44,0501013B0,Unknown,41-45,0,*
201606,Q44,0501013B0,Unknown,46-50,0,*
201606,Q44,0501013K0,Female,2-5,*,*
201606,Q44,0501013K0,Female,21-25,*,*
201606,Q44,0501013K0,Female,31-35,*,*
201606,Q44,0501013K0,Female,36-40,*,*
201606,Q44,0501013K0,Female,41-45,*,*
201606,Q44,0501013K0,Female,46-50,*,*
201606,Q44,0501013K0,Female,51-55,*,*
201606,Q44,0501013K0,Female,61-65,*,*
201606,Q44,0501013K0,Female,71-75,*,*
201606,Q44,0501013K0,Female,81-85,*,*
201606,Q44,0501013K0,Female,86-90,*,*
201606,Q44,0501013K0,Male,Unknown,*,*
201606,Q44,0501013K0,Male,0-1,*,*
201606,Q44,0501013K0,Male,6-10,*,*
201606,Q44,0501013K0,Male,16-20,*,*
201606,Q44,0501013K0,Male,41-45,*,*
